Number Waiting,ALTERAR.Queue,0.0943
Number Waiting,APP.Queue,0.2831
Number Waiting,BD.Queue,0.2429
Number Waiting,CONSULTAR.Queue,0.1740
Number Waiting,LOGIN.Queue,0.4313
Instantaneous Utilization,ResourceAlterar,0.2492
Instantaneous Utilization,ResourceApp,0.4118
Instantaneous Utilization,ResourceBD,0.4018
Instantaneous Utilization,ResourceConsultar,0.3268
Instantaneous Utilization,ResourceLogin,0.4782
Waiting Time,ALTERAR.Queue,0.2183
Waiting Time,APP.Queue,0.2758
Waiting Time,BD.Queue,0.2939
Waiting Time,CONSULTAR.Queue,0.2197
Waiting Time,LOGIN.Queue,0.4320
Number Waiting,ALTERAR.Queue,0.06941156
Number Waiting,APP.Queue,0.2052
Number Waiting,BD.Queue,0.2326
Number Waiting,CONSULTAR.Queue,0.1055
Number Waiting,LOGIN.Queue,0.3214
Instantaneous Utilization,ResourceAlterar,0.2176
Instantaneous Utilization,ResourceApp,0.3931
Instantaneous Utilization,ResourceBD,0.3896
Instantaneous Utilization,ResourceConsultar,0.2955
Instantaneous Utilization,ResourceLogin,0.4400
Waiting Time,ALTERAR.Queue,0.2419
Waiting Time,APP.Queue,0.2873
Waiting Time,BD.Queue,0.2457
Waiting Time,CONSULTAR.Queue,0.3748
Waiting Time,LOGIN.Queue,0.3588
Number Waiting,ALTERAR.Queue,0.07788528
Number Waiting,APP.Queue,0.2210
Number Waiting,BD.Queue,0.2042
Number Waiting,CONSULTAR.Queue,0.1924
Number Waiting,LOGIN.Queue,0.2768
Instantaneous Utilization,ResourceAlterar,0.2519
Instantaneous Utilization,ResourceApp,0.3899
Instantaneous Utilization,ResourceBD,0.3992
Instantaneous Utilization,ResourceConsultar,0.3584
Instantaneous Utilization,ResourceLogin,0.4323
Waiting Time,ALTERAR.Queue,0.2202
Waiting Time,APP.Queue,0.3117
Waiting Time,BD.Queue,0.3101
Waiting Time,CONSULTAR.Queue,0.4199
Waiting Time,LOGIN.Queue,0.4027
Number Waiting,ALTERAR.Queue,0.07180058
Number Waiting,APP.Queue,0.2319
Number Waiting,BD.Queue,0.2453
Number Waiting,CONSULTAR.Queue,0.1957
Number Waiting,LOGIN.Queue,0.2992
Instantaneous Utilization,ResourceAlterar,0.2477
Instantaneous Utilization,ResourceApp,0.3723
Instantaneous Utilization,ResourceBD,0.3769
Instantaneous Utilization,ResourceConsultar,0.3374
Instantaneous Utilization,ResourceLogin,0.4167
